% Cloudiness,Latitude,Longitude,Date (Raw),% Humidity,Max. Temp. (K),Max. Temp. (F),City,Date (Polished),Country,Wind Speed (MPH),Wind Speed (M/s)
0.0,62.58,6.12,1554114662.0,56.0,280.93,1016.87,Roald,2019-04-01 10:31:02,NO,8.05,8.7
92.0,18.14,-94.15,1554114685.0,94.0,294.947,1056.47,Agua Dulce,2019-04-01 10:31:25,MX,4.7,5.57
0.0,9.49,50.81,1554114686.0,100.0,300.347,1043.86,Bandarbeyla,2019-04-01 10:31:26,SO,14.92,4.65
1.0,60.79,-161.76,1554112560.0,74.0,276.15,1065.47,Bethel,2019-04-01 09:56:00,US,12.75,3.6
0.0,62.57,11.38,1554112200.0,47.0,275.15,1013.17,Roros,2019-04-01 09:50:00,NO,9.84,5.7
0.0,14.69,-16.54,1554112800.0,60.0,296.15,1033.07,Gat,2019-04-01 10:00:00,SN,3.36,10.3
92.0,3.87,-67.92,1554114695.0,98.0,295.647,1026.07,Inirida,2019-04-01 10:31:35,CO,12.75,1.22
88.0,40.97,117.93,1554114696.0,35.0,278.147,1014.06,ChengDe,2019-04-01 10:31:36,CN,12.75,2.02
12.0,13.76,7.99,1554114698.0,14.0,311.947,1015.07,Tessaoua,2019-04-01 10:31:38,NE,11.41,6.42
24.0,53.19,44.05,1554114699.0,90.0,274.997,1022.27,Kamenka,2019-04-01 10:31:39,RU,9.33,1.25
20.0,61.69,27.27,1554114605.0,55.0,275.93,1059.07,Mikkeli,2019-04-01 10:30:05,FI,4.92,5.7
92.0,-26.98,-56.83,1554114702.0,83.0,298.247,1069.07,San Patricio,2019-04-01 10:31:42,PY,5.82,1.12
90.0,49.0,-64.4,1554113880.0,96.0,274.15,1045.67,Riviere-au-Renard,2019-04-01 10:18:00,CA,4.7,3.6
75.0,8.96,38.73,1554109200.0,38.0,296.15,1066.99,Lebu,2019-04-01 09:00:00,ET,6.53,2.1
36.0,-46.43,-67.52,1554114709.0,51.0,289.147,1048.09,Mar del Plata,2019-04-01 10:31:49,AR,14.58,6.67
20.0,49.72,-86.95,1554112800.0,61.0,265.15,1018.08,Geraldton,2019-04-01 10:00:00,CA,11.41,2.1
0.0,-25.24,130.99,1554109200.0,14.0,301.15,1045.93,Yulara,2019-04-01 09:00:00,AU,2.91,5.7
12.0,65.53,72.51,1554114714.0,90.0,272.097,1026.31,Nadym,2019-04-01 10:31:54,RU,1.83,4.4
20.0,-42.48,-73.76,1554112800.0,93.0,283.15,1049.27,Castro,2019-04-01 10:00:00,CL,8.05,1.5
75.0,35.73,140.83,1554114628.0,81.0,279.26,1064.92,Hasaki,2019-04-01 10:30:28,JP,13.31,5.7
1.0,40.54,-75.5,1554114701.0,46.0,272.59,1041.06,Emmaus,2019-04-01 10:31:41,US,4.74,5.7
90.0,45.85,-66.47,1554114670.0,73.0,273.15,1015.15,Oromocto,2019-04-01 10:31:10,CA,18.34,5.1
0.0,64.25,-15.21,1554113460.0,44.0,277.15,1061.68,Hofn,2019-04-01 10:11:00,IS,13.91,4.17
32.0,-20.63,-46.0,1554114724.0,71.0,297.597,1058.27,Ponta do Sol,2019-04-01 10:32:04,BR,3.36,2.2
20.0,-20.34,57.76,1554114542.0,66.0,303.15,1033.07,Bambous Virieux,2019-04-01 10:29:02,MU,9.17,2.6
0.0,-38.38,142.48,1554114605.0,82.0,284.82,1076.44,Warrnambool,2019-04-01 10:30:05,AU,5.41,2.27
90.0,39.17,8.53,1554114638.0,67.0,290.15,1058.44,Carbonia,2019-04-01 10:30:38,IT,2.84,2.1
8.0,-16.7,-151.02,1554114731.0,99.0,301.997,1038.91,Fare,2019-04-01 10:32:11,PF,20.13,2.92
36.0,53.14,140.72,1554114732.0,76.0,268.097,1009.3,Nikolayevsk-na-amure,2019-04-01 10:32:12,RU,11.86,5.12
24.0,32.38,15.09,1554114734.0,79.0,291.497,1031.07,Misratah,2019-04-01 10:32:14,LY,10.29,6.52
20.0,43.04,-71.18,1554114544.0,59.0,274.82,1043.87,Raymond,2019-04-01 10:29:04,US,4.7,5.1
20.0,-10.07,-78.15,1554114738.0,92.0,290.297,1035.22,Huarmey,2019-04-01 10:32:18,PE,12.3,1.3
0.0,27.69,-105.17,1554114740.0,71.0,279.397,1008.94,Camargo,2019-04-01 10:32:20,MX,4.59,0.82
0.0,-27.18,151.26,1554113758.0,63.0,292.15,1038.07,Dalby,2019-04-01 10:15:58,AU,3.36,3.6
0.0,10.93,108.1,1554114631.0,86.0,300.847,1068.97,Phan Thiet,2019-04-01 10:30:31,VN,6.82,5.95
0.0,-33.42,149.58,1554114609.0,64.0,287.59,1044.94,Bathurst,2019-04-01 10:30:09,AU,3.24,2.12
44.0,66.69,34.34,1554114746.0,76.0,273.197,1065.55,Umba,2019-04-01 10:32:26,RU,3.58,8.2
0.0,27.03,14.43,1554114749.0,38.0,299.047,1042.07,Sabha,2019-04-01 10:32:29,LY,18.34,6.22
80.0,-19.55,169.27,1554109200.0,83.0,297.15,1018.67,Isangel,2019-04-01 09:00:00,VU,16.11,1.5
90.0,25.87,-97.51,1554114713.0,93.0,283.15,1058.07,Matamoros,2019-04-01 10:31:53,US,11.41,4.1
68.0,18.74,7.39,1554114753.0,34.0,307.247,1059.69,Arlit,2019-04-01 10:32:33,NE,2.37,2.42
0.0,17.54,120.52,1554114755.0,74.0,297.247,1074.47,San Quintin,2019-04-01 10:32:35,PH,6.93,1.27
32.0,39.51,54.36,1554114756.0,66.0,285.347,1039.06,Balkanabat,2019-04-01 10:32:36,TM,13.87,5.55
8.0,39.24,55.52,1554114758.0,71.0,286.397,1061.77,Gazanjyk,2019-04-01 10:32:38,TM,5.03,9.0
8.0,66.83,70.83,1554114759.0,79.0,269.947,1052.87,Yar-Sale,2019-04-01 10:32:39,RU,12.75,5.3
40.0,53.99,-1.54,1554114558.0,75.0,282.04,1056.47,Harrogate,2019-04-01 10:29:18,GB,4.7,4.6
0.0,-38.95,-68.06,1554112800.0,67.0,289.15,1056.47,Neuquen,2019-04-01 10:00:00,AR,4.7,2.1
64.0,0.53,72.93,1554114764.0,100.0,301.397,1076.17,Thinadhoo,2019-04-01 10:32:44,MV,8.61,1.3
0.0,29.96,122.3,1554114769.0,88.0,284.347,1013.8,Shenjiamen,2019-04-01 10:32:49,CN,6.6,5.5
8.0,42.9,133.91,1554114770.0,55.0,269.747,995.27,Preobrazheniye,2019-04-01 10:32:50,RU,2.24,2.05
1.0,37.46,-122.43,1554114768.0,87.0,285.93,1048.54,Half Moon Bay,2019-04-01 10:32:48,US,6.53,1.5
56.0,7.42,81.82,1554114773.0,65.0,303.097,1078.6,Kalmunai,2019-04-01 10:32:53,LK,5.26,3.05
68.0,-34.48,-54.34,1554114776.0,96.0,289.747,1027.08,Rocha,2019-04-01 10:32:56,UY,12.75,1.45
56.0,-13.19,49.05,1554114778.0,94.0,301.197,1063.75,Ambilobe,2019-04-01 10:32:58,MG,13.87,1.6
20.0,10.24,-61.45,1554114693.0,94.0,296.15,1022.27,Esperance,2019-04-01 10:31:33,TT,21.92,2.3
40.0,37.72,-25.43,1554112800.0,62.0,288.15,1047.07,Vila Franca do Campo,2019-04-01 10:00:00,PT,12.35,8.2
75.0,68.56,14.91,1554114676.0,80.0,275.15,1028.47,Stokmarknes,2019-04-01 10:31:16,NO,15.88,7.2
0.0,44.17,25.38,1554114610.0,26.0,297.04,1017.07,Babaita,2019-04-01 10:30:10,RO,1.61,5.1
44.0,-11.81,-37.61,1554114539.0,100.0,297.938,1008.31,Conde,2019-04-01 10:28:59,BR,10.29,1.06
20.0,10.5,99.18,1554109200.0,59.0,306.15,1054.08,Chumphon,2019-04-01 09:00:00,TH,6.93,3.1
20.0,49.06,20.2,1554114608.0,45.0,286.48,1061.68,Svit,2019-04-01 10:30:08,SK,2.73,6.2
0.0,14.3,44.38,1554114790.0,15.0,299.097,1041.06,Yarim,2019-04-01 10:33:10,YE,4.7,2.25
0.0,18.08,-15.98,1554112800.0,49.0,294.15,1064.02,Nouakchott,2019-04-01 10:00:00,MR,9.06,5.7
64.0,-19.06,-169.92,1554112800.0,94.0,296.15,1054.67,Alofi,2019-04-01 10:00:00,NU,3.36,2.1
20.0,19.55,-71.08,1554109200.0,100.0,296.15,1022.07,Mao,2019-04-01 09:00:00,DO,4.7,2.1
36.0,9.6,-5.2,1554114796.0,55.0,307.097,1038.47,Ferkessedougou,2019-04-01 10:33:16,CI,5.82,3.85
0.0,40.73,124.78,1554114797.0,46.0,272.447,1020.07,Kuandian,2019-04-01 10:33:17,CN,4.7,2.95
20.0,60.91,-46.05,1554112200.0,36.0,262.15,1060.42,Narsaq,2019-04-01 09:50:00,GL,3.91,1.0
56.0,-35.17,173.16,1554114800.0,100.0,291.747,1036.67,Ahipara,2019-04-01 10:33:20,NZ,8.05,2.92
44.0,7.3,8.73,1554114802.0,60.0,308.447,1071.04,Shar,2019-04-01 10:33:22,NG,7.65,2.35
0.0,71.64,128.87,1554114803.0,70.0,263.597,1009.84,Tiksi,2019-04-01 10:33:23,RU,18.72,1.9
40.0,55.46,-4.63,1554114744.0,80.0,279.82,1004.27,Ayr,2019-04-01 10:32:24,GB,6.93,5.7
0.0,11.0,122.67,1554114806.0,44.0,300.197,1017.76,Dingle,2019-04-01 10:33:26,PH,2.24,6.2
92.0,62.23,-6.59,1554112200.0,86.0,277.15,1008.07,Klaksvik,2019-04-01 09:50:00,FO,2.91,9.8
0.0,31.87,121.18,1554114629.0,31.0,290.93,1010.92,Haimen,2019-04-01 10:30:29,CN,6.64,5.52
0.0,53.06,32.85,1554114810.0,51.0,280.597,992.92,Mglin,2019-04-01 10:33:30,RU,14.7,7.1
1.0,50.84,-118.99,1554114612.0,100.0,274.26,1051.6,Sicamous,2019-04-01 10:30:12,CA,2.91,0.72
0.0,71.98,102.47,1554114813.0,79.0,269.397,1052.87,Khatanga,2019-04-01 10:33:33,RU,6.93,4.6
0.0,44.51,12.04,1554114764.0,55.0,294.82,1011.64,Alfonsine,2019-04-01 10:32:44,IT,8.1,3.1
88.0,-1.77,-55.87,1554114816.0,92.0,299.047,986.27,Oriximina,2019-04-01 10:33:36,BR,1.57,1.22
40.0,-35.36,150.48,1554114618.0,82.0,287.59,1051.15,Ulladulla,2019-04-01 10:30:18,AU,6.64,2.1
88.0,-3.66,152.44,1554114819.0,100.0,300.347,1013.8,Namatanai,2019-04-01 10:33:39,PG,8.1,4.05
8.0,-13.71,-76.2,1554112800.0,30.0,295.15,1029.47,Pisco,2019-04-01 10:00:00,PE,8.05,1.5
1.0,32.77,-108.28,1554114739.0,74.0,277.04,1029.47,Silver City,2019-04-01 10:32:19,US,1.9,2.1
90.0,-0.39,-78.55,1554114712.0,93.0,286.15,1049.27,San Cristobal,2019-04-01 10:31:52,EC,9.17,2.6
1.0,50.27,-119.27,1554114648.0,86.0,275.93,1062.04,Vernon,2019-04-01 10:30:48,CA,2.01,2.1
20.0,-0.74,-90.35,1554114666.0,98.0,298.347,1061.87,Puerto Ayora,2019-04-01 10:31:06,EC,8.05,1.75
48.0,-37.83,140.78,1554109200.0,71.0,285.15,1010.29,Mount Gambier,2019-04-01 09:00:00,AU,7.05,3.6
0.0,14.4,46.47,1554114830.0,19.0,304.247,1031.27,Marzuq,2019-04-01 10:33:50,YE,11.18,3.42
80.0,67.55,63.78,1554114832.0,91.0,270.247,1016.86,Komsomolskiy,2019-04-01 10:33:52,RU,7.27,8.37
90.0,68.22,-135.01,1554112800.0,79.0,267.15,1080.49,Aklavik,2019-04-01 10:00:00,CA,8.95,3.1
24.0,49.98,92.07,1554114835.0,94.0,274.647,1046.07,Ulaangom,2019-04-01 10:33:55,MN,6.93,1.0
90.0,47.48,-94.89,1554114604.0,100.0,269.26,1066.0,Bemidji,2019-04-01 10:30:04,US,2.73,1.3
56.0,64.42,-173.23,1554114838.0,92.0,270.847,1052.87,Provideniya,2019-04-01 10:33:58,RU,9.95,2.97
36.0,69.38,178.42,1554114841.0,76.0,260.847,1022.27,Leningradskiy,2019-04-01 10:34:01,RU,13.42,6.57
36.0,-29.41,-66.86,1554114842.0,95.0,293.447,1060.15,La Rioja,2019-04-01 10:34:02,AR,8.77,1.3
1.0,22.08,-159.32,1554114806.0,82.0,294.15,1073.47,Kapaa,2019-04-01 10:33:26,US,4.92,3.1
80.0,69.49,88.39,1554114847.0,91.0,271.247,1063.03,Talnakh,2019-04-01 10:34:07,RU,1.5,3.62
75.0,63.75,-68.52,1554114721.0,77.0,257.15,1017.07,Iqaluit,2019-04-01 10:32:01,CA,9.17,0.7
0.0,-30.97,22.13,1554114850.0,23.0,293.197,1002.64,Carnarvon,2019-04-01 10:34:10,ZA,4.85,2.97
48.0,65.95,111.51,1554114851.0,83.0,272.447,1017.22,Aykhal,2019-04-01 10:34:11,RU,5.08,3.62
12.0,54.28,-0.41,1554114782.0,61.0,281.15,1075.72,Scarborough,2019-04-01 10:33:02,GB,4.59,3.6
90.0,-13.65,-73.37,1554112800.0,100.0,281.15,1064.92,San Jeronimo,2019-04-01 10:00:00,PE,4.92,0.85
40.0,32.3,-64.78,1554114605.0,82.0,292.15,1074.47,Hamilton,2019-04-01 10:30:05,BM,11.41,4.1
68.0,-2.88,108.27,1554114858.0,100.0,299.247,1044.07,Manggar,2019-04-01 10:34:18,ID,2.24,0.9
5.0,21.23,-86.73,1554114141.0,78.0,299.15,1029.47,Isla Mujeres,2019-04-01 10:22:21,MX,24.16,3.6
